WP_004608676.1, WP_003744529.1
WP_004610347.1, WP_003740801.1
WP_083784308.1, WP_003740839.1
WP_004610112.1, WP_003740839.1
WP_004609595.1, WP_003741237.1
WP_004610552.1, WP_003741137.1
WP_004610152.1, WP_003741023.1
WP_004610867.1, WP_003741198.1
WP_004610332.1, WP_003741813.1
WP_004610486.1, WP_003740823.1
WP_004610214.1, WP_003741463.1
WP_004610100.1, WP_003744064.1
WP_039903626.1, WP_003741394.1
WP_004608827.1, WP_003740904.1
WP_004610784.1, WP_003742599.1
WP_004609605.1, WP_003740838.1
WP_004610706.1, WP_003740900.1
WP_004610965.1, WP_003740765.1
WP_004610784.1, WP_003742599.1
WP_004608972.1, WP_003740684.1
WP_004609133.1, WP_003740635.1
WP_004609051.1, WP_003740710.1
WP_004609603.1, WP_003741712.1
WP_004610866.1, WP_003741194.1
WP_004610007.1, WP_003740839.1
WP_004609267.1, WP_003741671.1
WP_004608833.1, WP_003741558.1
WP_004610673.1, WP_003741090.1
WP_039904472.1, WP_003742194.1
WP_004610691.1, WP_003740838.1
WP_004609235.1, WP_003742680.1
WP_039903403.1, WP_003741347.1
WP_004609058.1, WP_003741557.1
WP_004609654.1, WP_003742486.1
WP_004609262.1, WP_003744770.1
WP_004610607.1, WP_003684588.1
WP_004609447.1, WP_003744146.1
WP_004609262.1, WP_003744770.1
WP_222848073.1, WP_003741592.1
WP_039904777.1, WP_003740863.1
WP_004610311.1, WP_003741449.1
WP_004609066.1, WP_003744401.1
WP_004610662.1, WP_003742238.1
WP_004609286.1, WP_003741937.1
WP_039904777.1, WP_003740863.1
WP_039904795.1, WP_003740842.1
WP_004609386.1, WP_003741194.1
WP_004609439.1, WP_003740750.1
WP_004610400.1, WP_003742589.1
WP_004610937.1, WP_003741145.1
WP_004608853.1, WP_003674559.1
WP_004609921.1, WP_003741339.1
WP_004609719.1, WP_003740829.1
WP_004610897.1, WP_003743263.1
WP_004610092.1, WP_002232195.1
WP_004608842.1, WP_003744071.1
WP_039904082.1, WP_003740839.1
WP_024722144.1, WP_003741450.1
WP_004610036.1, WP_003684588.1
WP_004609496.1, WP_003742912.1
WP_004610903.1, WP_003678863.1
WP_004610980.1, WP_003744017.1
WP_039903804.1, WP_003740711.1
WP_004609715.1, WP_003740833.1
WP_004610351.1, WP_003741106.1
WP_004610866.1, WP_003741194.1
WP_004610347.1, WP_003740801.1
